,ht_assay,ht_ratio,uniprot_ids,values,localization,symbol,cell_type
0,A1YPR0,1.1823401048219002,A1YPR0,0.7943294963758318,internal,ZBTB7C,astrocyte
1,O60356,1.7829876545048218,O60356,0.826144790485809,internal,NUPR1,astrocyte
2,P30041,1.461420197634961,P30041,0.8176476286458587,internal,PRDX6,astrocyte
3,P48431,1.1560620613863961,P48431,0.8747543375679601,internal,SOX2,astrocyte
4,Q6ZV73,22.481444787631542,Q6ZV73,0.8485060343773095,internal,FGD6,astrocyte
5,Q8TDY4,1.2327060849593172,Q8TDY4,0.8702044689966069,internal,ASAP3,astrocyte
6,Q8TEW0,1.1777435260477636,Q8TEW0,0.7667205673398058,internal,PARD3,astrocyte
7,Q8TF72,1.4315189453211525,Q8TF72,0.8994321288235969,internal,SHROOM3,astrocyte
8,Q96C24,1.1784448616824823,Q96C24,0.8776814335794261,internal,SYTL4,astrocyte
9,Q99584,1.7284057541415,Q99584,0.8697811614065493,internal,S100A13,astrocyte
10,Q9BYT3,1.2358758016949563,Q9BYT3,0.8966516810944196,internal,STK33,astrocyte
11,Q9H2M3,1.2156340583018286,Q9H2M3,0.9260055794479531,internal,BHMT2,astrocyte
12,P29972,5.9784394752166286,P29972,0.9274825648399427,transmembrane,AQP1,astrocyte
0,A6NI79,1.763575085694579,A6NI79,0.8006377150813261,internal,CCDC69,endothelial
1,O96013,1.1036460010301266,O96013,0.8216986322642907,internal,PAK4,endothelial
2,Q86SQ0,1.5966712192866286,Q86SQ0,0.9130832355250549,internal,PHLDB2,endothelial
3,Q9BT81,1.595474684257916,Q9BT81,0.9566217376731373,internal,SOX7,endothelial
4,Q9P266,1.3689085128502396,Q9P266,0.9693975041305685,internal,JCAD,endothelial
5,P53985,2.8776144112207414,P53985,0.8533199080584672,transmembrane,SLC16A1,endothelial
6,Q16625,1.73578421817033,Q16625,0.8697012714809416,transmembrane,OCLN,endothelial
0,A2A288,23.20279057178942,A2A288,0.786597487578416,internal,ZC3H12D,microglia
1,P14317,1.3211397344859268,P14317,0.9581372794089831,internal,HCLS1,microglia
2,P19838,12.307621693676687,P19838,0.8982811251727476,internal,NFKB1,microglia
3,P57796,1.267463684708028,P57796,0.7696978232349361,internal,CABP4,microglia
4,Q12802,4.012006762530875,Q12802,0.928488868626677,internal,AKAP13,microglia
5,Q6P0N0,1.7331391470514903,Q6P0N0,0.9409825447151495,internal,MIS18BP1,microglia
6,Q6P589,1.3061302818440594,Q6P589,0.9296177844629228,internal,TNFAIP8L2,microglia
7,Q7Z6K4,1.4532825277136259,Q7Z6K4,0.7537650186832895,internal,NRARP,microglia
8,Q9NP95,1.188933464113722,Q9NP95,0.9122603287746566,internal,FGF20,microglia
9,Q9Y572,2.042535103010829,Q9Y572,0.769143877702684,internal,RIPK3,microglia
10,P24071,1.129486693402372,P24071,0.9861634073725165,transmembrane,FCAR,microglia
0,P05230,3.3323512276192884,P05230,0.8712150379984682,internal,FGF1,oligodendrocyte
1,P54132,2.0958680576053745,P54132,0.8806752379154928,internal,BLM,oligodendrocyte
2,Q96M02,2.450563007824774,Q96M02,0.94356597388021,internal,C10orf90,oligodendrocyte
3,P19075,1.5561055969960953,P19075,0.8242942325918091,transmembrane,TSPAN8,oligodendrocyte
0,O15212,1.4662665565794264,O15212,0.7762616236613404,internal,PFDN6,neuron
1,O60861,3.51601597687637,O60861,0.7854461309863459,internal,GAS7,neuron
2,P20337,2.3274964776191607,P20337,0.9762776964767114,internal,RAB3B,neuron
3,Q15032,2.055802830502743,Q15032,0.8168197565162865,internal,R3HDM1,neuron
4,Q15388,1.3642042704647037,Q15388,0.7589412009457097,internal,TOMM20,neuron
5,Q16650,1.1946891833910445,Q16650,0.9518416372251193,internal,TBR1,neuron
6,Q2V2M9,1.525290501391672,Q2V2M9,0.8396532260930267,internal,FHOD3,neuron
7,Q5JY77,1.4776104218124142,Q5JY77,0.9245134055138361,internal,GPRASP1,neuron
8,Q5SYC1,1.1111693836734693,Q5SYC1,0.9491301400438124,internal,CLVS2,neuron
9,Q6PI77,1.2696900355320493,Q6PI77,0.8803243756551714,internal,GPRASP3,neuron
10,Q6ZU67,1.1846584222435999,Q6ZU67,0.9427800935597558,internal,BEND4,neuron
11,Q96MH7,1.4582985145012055,Q96MH7,0.7578628427315546,internal,C5orf34,neuron
12,Q9BYG5,1.484093671242103,Q9BYG5,0.8068129838090728,internal,PARD6B,neuron
13,Q9NRE2,1.2948614887148129,Q9NRE2,0.9098145355539309,internal,TSHZ2,neuron
14,Q9NSB8,1.2160096357532957,Q9NSB8,0.7977753891510055,internal,HOMER2,neuron
15,Q9NWN3,13.743182823171281,Q9NWN3,0.7626769382703672,internal,FBXO34,neuron
16,Q9NYY3,11.113258784397019,Q9NYY3,0.8745949332188275,internal,PLK2,neuron
17,Q9P032,2.2920074024081285,Q9P032,0.7860673842313308,internal,NDUFAF4,neuron
18,Q9UPV7,20.188350040732658,Q9UPV7,0.756226367185647,internal,PHF24,neuron
19,Q9Y233,1.1788189494409196,Q9Y233,0.7927382040851234,internal,PDE10A,neuron
20,P20309,1.5323097298335795,P20309,0.9650513542195358,transmembrane,CHRM3,neuron
21,Q13936,1.2018661356348102,Q13936,0.8638066482358732,transmembrane,CACNA1C,neuron
